Wavelength,Absorbance
190,4.646
190.5,4.65
191,4.388
191.5,4.574
192,4.539
192.5,4.292
193,3.815
193.5,3.875
194,3.743
194.5,3.879
195,4.3
195.5,4.32
196,4.282
196.5,4.224
197,4.125
197.5,3.789
198,3.604
198.5,3.618
199,3.286
199.5,3.07
200,2.849
200.5,2.665
201,2.732
201.5,2.627
202,2.822
202.5,3.01
203,3.191
203.5,2.894
204,2.651
204.5,2.61
205,2.556
205.5,2.501
206,2.333
206.5,2.008
207,2.169
207.5,2.23
208,2.101
208.5,1.763
209,1.985
209.5,1.992
210,1.884
210.5,1.942
211,1.862
211.5,1.888
212,2.21
212.5,2.344
213,2.057
213.5,2.004
214,2.32
214.5,2.352
215,2.231
215.5,2.624
216,2.452
216.5,2.3
217,2.318
217.5,2.262
218,2.174
218.5,2.241
219,2.382
219.5,2.152
220,2.292
220.5,2.593
221,2.7
221.5,3.1
222,3.76
222.5,4.449
223,5.159
223.5,5.605
224,6.066
224.5,6.354
225,6.765
225.5,6.939
226,7.134
226.5,7.262
227,7.345
227.5,7.397
228,7.428
228.5,7.469
229,7.491
229.5,7.484
230,7.49
230.5,7.473
231,7.434
231.5,7.369
232,7.28
232.5,7.167
233,7.035
233.5,6.89
234,6.746
234.5,6.602
235,6.474
235.5,6.357
236,6.255
236.5,6.159
237,6.076
237.5,6.001
238,5.933
238.5,5.874
239,5.822
239.5,5.771
240,5.727
240.5,5.687
241,5.645
241.5,5.61
242,5.574
242.5,5.537
243,5.501
243.5,5.461
244,5.417
244.5,5.37
245,5.319
245.5,5.27
246,5.225
246.5,5.186
247,5.149
247.5,5.111
248,5.067
248.5,5.007
249,4.938
249.5,4.851
250,4.747
250.5,4.635
251,4.518
251.5,4.404
252,4.289
252.5,4.182
253,4.076
253.5,3.978
254,3.894
254.5,3.813
255,3.738
255.5,3.68
256,3.633
256.5,3.6
257,3.576
257.5,3.555
258,3.54
258.5,3.535
259,3.528
259.5,3.517
260,3.503
260.5,3.487
261,3.466
261.5,3.442
262,3.421
262.5,3.392
263,3.374
263.5,3.363
264,3.353
264.5,3.352
265,3.357
265.5,3.371
266,3.393
266.5,3.417
267,3.45
267.5,3.484
268,3.521
268.5,3.562
269,3.608
269.5,3.662
270,3.723
270.5,3.788
271,3.855
271.5,3.923
272,3.995
272.5,4.07
273,4.14
273.5,4.211
274,4.279
274.5,4.345
275,4.41
275.5,4.461
276,4.51
276.5,4.553
277,4.586
277.5,4.619
278,4.644
278.5,4.668
279,4.688
279.5,4.717
280,4.747
280.5,4.777
281,4.812
281.5,4.847
282,4.88
282.5,4.924
283,4.975
283.5,5.031
284,5.09
284.5,5.156
285,5.227
285.5,5.307
286,5.383
286.5,5.466
287,5.556
287.5,5.655
288,5.752
288.5,5.845
289,5.926
289.5,5.996
290,6.054
290.5,6.09
291,6.1
291.5,6.083
292,6.046
292.5,5.987
293,5.906
293.5,5.81
294,5.706
294.5,5.603
295,5.499
295.5,5.397
296,5.302
296.5,5.212
297,5.134
297.5,5.063
298,4.994
298.5,4.931
299,4.874
299.5,4.824
300,4.775
300.5,4.735
301,4.708
301.5,4.691
302,4.694
302.5,4.713
303,4.746
303.5,4.798
304,4.861
304.5,4.941
305,5.031
305.5,5.134
306,5.238
306.5,5.336
307,5.426
307.5,5.496
308,5.537
308.5,5.544
309,5.506
309.5,5.422
310,5.289
310.5,5.11
311,4.888
311.5,4.633
312,4.352
312.5,4.051
313,3.738
313.5,3.425
314,3.12
314.5,2.827
315,2.554
315.5,2.301
316,2.076
316.5,1.876
317,1.697
317.5,1.534
318,1.381
318.5,1.246
319,1.127
319.5,1.022
320,0.93
320.5,0.848
321,0.776
321.5,0.717
322,0.668
322.5,0.628
323,0.587
323.5,0.553
324,0.527
324.5,0.504
325,0.481
325.5,0.458
326,0.434
326.5,0.417
327,0.404
327.5,0.389
328,0.374
328.5,0.36
329,0.353
329.5,0.34
330,0.331
330.5,0.321
331,0.315
331.5,0.31
332,0.309
332.5,0.307
333,0.301
333.5,0.295
334,0.291
334.5,0.284
335,0.277
335.5,0.269
336,0.262
336.5,0.257
337,0.256
337.5,0.254
338,0.249
338.5,0.245
339,0.24
339.5,0.234
340,0.23
340.5,0.223
341,0.217
341.5,0.213
342,0.208
342.5,0.204
343,0.199
343.5,0.194
344,0.191
344.5,0.189
345,0.19
345.5,0.185
346,0.184
346.5,0.18
347,0.174
347.5,0.172
348,0.172
348.5,0.171
349,0.172
349.5,0.174
350,0.173
350.5,0.167
351,0.16
351.5,0.152
352,0.145
352.5,0.141
353,0.14
353.5,0.142
354,0.145
354.5,0.145
355,0.146
355.5,0.142
356,0.138
356.5,0.134
357,0.134
357.5,0.13
358,0.133
358.5,0.136
359,0.136
359.5,0.135
360,0.137
360.5,0.136
361,0.135
361.5,0.13
362,0.129
362.5,0.123
363,0.124
363.5,0.123
364,0.119
364.5,0.118
365,0.12
365.5,0.117
366,0.116
366.5,0.114
367,0.115
367.5,0.114
368,0.116
368.5,0.117
369,0.117
369.5,0.121
370,0.123
370.5,0.12
371,0.119
371.5,0.121
372,0.12
372.5,0.12
373,0.118
373.5,0.119
374,0.118
374.5,0.119
375,0.119
375.5,0.114
376,0.112
376.5,0.11
377,0.109
377.5,0.11
378,0.114
378.5,0.115
379,0.114
379.5,0.115
380,0.114
380.5,0.109
381,0.106
381.5,0.1
382,0.099
382.5,0.098
383,0.1
383.5,0.101
384,0.099
384.5,0.099
385,0.098
385.5,0.096
386,0.097
386.5,0.097
387,0.098
387.5,0.095
388,0.097
388.5,0.097
389,0.097
389.5,0.093
390,0.09
390.5,0.088
391,0.09
391.5,0.091
392,0.091
392.5,0.089
393,0.086
393.5,0.083
394,0.083
394.5,0.08
395,0.079
395.5,0.079
396,0.08
396.5,0.083
397,0.087
397.5,0.086
398,0.084
398.5,0.083
399,0.085
399.5,0.084
400,0.082
400.5,0.081
401,0.083
401.5,0.083
402,0.083
402.5,0.083
403,0.085
403.5,0.085
404,0.087
404.5,0.086
405,0.082
405.5,0.081
406,0.081
406.5,0.076
407,0.072
407.5,0.073
408,0.074
408.5,0.075
409,0.077
409.5,0.077
410,0.078
410.5,0.08
411,0.076
411.5,0.072
412,0.068
412.5,0.068
413,0.067
413.5,0.068
414,0.068
414.5,0.067
415,0.067
415.5,0.064
416,0.062
416.5,0.065
417,0.066
417.5,0.066
418,0.064
418.5,0.065
419,0.065
419.5,0.063
420,0.063
420.5,0.062
421,0.062
421.5,0.064
422,0.061
422.5,0.058
423,0.054
423.5,0.056
424,0.058
424.5,0.06
425,0.062
425.5,0.063
426,0.063
426.5,0.062
427,0.062
427.5,0.065
428,0.065
428.5,0.064
429,0.06
429.5,0.058
430,0.056
430.5,0.056
431,0.057
431.5,0.059
432,0.062
432.5,0.064
433,0.062
433.5,0.058
434,0.055
434.5,0.052
435,0.051
435.5,0.051
436,0.054
436.5,0.056
437,0.054
437.5,0.054
438,0.052
438.5,0.055
439,0.056
439.5,0.054
440,0.057
440.5,0.057
441,0.058
441.5,0.055
442,0.05
442.5,0.046
443,0.041
443.5,0.039
444,0.037
444.5,0.037
445,0.038
445.5,0.037
446,0.037
446.5,0.039
447,0.042
447.5,0.04
448,0.037
448.5,0.04
449,0.043
449.5,0.048
450,0.048
450.5,0.049
451,0.049
451.5,0.05
452,0.048
452.5,0.043
453,0.039
453.5,0.04
454,0.04
454.5,0.043
455,0.041
455.5,0.039
456,0.038
456.5,0.039
457,0.039
457.5,0.039
458,0.039
458.5,0.042
459,0.044
459.5,0.045
460,0.044
460.5,0.041
461,0.041
461.5,0.042
462,0.043
462.5,0.041
463,0.041
463.5,0.044
464,0.045
464.5,0.044
465,0.046
465.5,0.047
466,0.047
466.5,0.048
467,0.046
467.5,0.041
468,0.04
468.5,0.038
469,0.036
469.5,0.034
470,0.037
470.5,0.038
471,0.039
471.5,0.044
472,0.045
472.5,0.045
473,0.044
473.5,0.043
474,0.045
474.5,0.047
475,0.049
475.5,0.048
476,0.044
476.5,0.042
477,0.041
477.5,0.038
478,0.036
478.5,0.036
479,0.037
479.5,0.039
480,0.039
480.5,0.039
481,0.038
481.5,0.036
482,0.036
482.5,0.034
483,0.034
483.5,0.033
484,0.034
484.5,0.036
485,0.036
485.5,0.039
486,0.039
486.5,0.037
487,0.035
487.5,0.033
488,0.034
488.5,0.033
489,0.035
489.5,0.038
490,0.04
490.5,0.043
491,0.044
491.5,0.043
492,0.04
492.5,0.037
493,0.035
493.5,0.032
494,0.029
494.5,0.027
495,0.027
495.5,0.033
496,0.038
496.5,0.04
497,0.041
497.5,0.04
498,0.038
498.5,0.038
499,0.036
499.5,0.036
500,0.039
500.5,0.044
501,0.044
501.5,0.046
502,0.047
502.5,0.043
503,0.039
503.5,0.04
504,0.04
504.5,0.039
505,0.041
505.5,0.042
506,0.041
506.5,0.041
507,0.042
507.5,0.041
508,0.038
508.5,0.034
509,0.031
509.5,0.027
510,0.027
510.5,0.027
511,0.029
511.5,0.029
512,0.033
512.5,0.038
513,0.037
513.5,0.038
514,0.041
514.5,0.043
515,0.042
515.5,0.043
516,0.044
516.5,0.042
517,0.039
517.5,0.036
518,0.033
518.5,0.033
519,0.034
519.5,0.036
520,0.036
520.5,0.038
521,0.039
521.5,0.038
522,0.037
522.5,0.036
523,0.035
523.5,0.033
524,0.031
524.5,0.028
525,0.023
525.5,0.02
526,0.019
526.5,0.019
527,0.023
527.5,0.026
528,0.031
528.5,0.034
529,0.033
529.5,0.029
530,0.026
530.5,0.023
531,0.022
531.5,0.021
532,0.02
532.5,0.022
533,0.023
533.5,0.025
534,0.024
534.5,0.024
535,0.023
535.5,0.022
536,0.021
536.5,0.021
537,0.02
537.5,0.021
538,0.021
538.5,0.027
539,0.027
539.5,0.026
540,0.026
540.5,0.026
541,0.026
541.5,0.023
542,0.024
542.5,0.022
543,0.02
543.5,0.021
544,0.023
544.5,0.026
545,0.027
545.5,0.03
546,0.035
546.5,0.033
547,0.035
547.5,0.033
548,0.027
548.5,0.026
549,0.026
549.5,0.025
550,0.026
550.5,0.027
551,0.033
551.5,0.035
552,0.036
552.5,0.033
553,0.025
553.5,0.021
554,0.016
554.5,0.016
555,0.019
555.5,0.022
556,0.03
556.5,0.04
557,0.044
557.5,0.047
558,0.043
558.5,0.04
559,0.035
559.5,0.029
560,0.021
560.5,0.018
561,0.016
561.5,0.017
562,0.021
562.5,0.024
563,0.024
563.5,0.027
564,0.029
564.5,0.025
565,0.021
565.5,0.022
566,0.021
566.5,0.02
567,0.025
567.5,0.027
568,0.03
568.5,0.036
569,0.04
569.5,0.038
570,0.036
570.5,0.035
571,0.035
571.5,0.03
572,0.029
572.5,0.026
573,0.023
573.5,0.023
574,0.023
574.5,0.024
575,0.025
575.5,0.028
576,0.029
576.5,0.028
577,0.024
577.5,0.029
578,0.029
578.5,0.03
579,0.028
579.5,0.028
580,0.027
580.5,0.024
581,0.019
581.5,0.015
582,0.013
582.5,0.019
583,0.022
583.5,0.023
584,0.023
584.5,0.024
585,0.026
585.5,0.027
586,0.025
586.5,0.025
587,0.025
587.5,0.026
588,0.028
588.5,0.027
589,0.028
589.5,0.028
590,0.027
590.5,0.025
591,0.022
591.5,0.021
592,0.02
592.5,0.021
593,0.023
593.5,0.023
594,0.028
594.5,0.029
595,0.031
595.5,0.028
596,0.029
596.5,0.025
597,0.025
597.5,0.024
598,0.024
598.5,0.023
599,0.027
599.5,0.031
600,0.036
600.5,0.039
601,0.037
601.5,0.032
602,0.03
602.5,0.027
603,0.026
603.5,0.023
604,0.021
604.5,0.02
605,0.026
605.5,0.029
606,0.024
606.5,0.018
607,0.015
607.5,0.014
608,0.017
608.5,0.018
609,0.018
609.5,0.023
610,0.03
610.5,0.036
611,0.036
611.5,0.031
612,0.028
612.5,0.026
613,0.017
613.5,0.01
614,0.009
614.5,0.01
615,0.012
615.5,0.016
616,0.021
616.5,0.022
617,0.024
617.5,0.025
618,0.02
618.5,0.018
619,0.016
619.5,0.013
620,0.015
620.5,0.017
621,0.02
621.5,0.018
622,0.019
622.5,0.022
623,0.023
623.5,0.021
624,0.014
624.5,0.013
625,0.013
625.5,0.016
626,0.018
626.5,0.021
627,0.027
627.5,0.025
628,0.024
628.5,0.018
629,0.009
629.5,0.002
630,0.002
630.5,0.006
631,0.013
631.5,0.022
632,0.029
632.5,0.03
633,0.034
633.5,0.028
634,0.025
634.5,0.019
635,0.018
635.5,0.015
636,0.012
636.5,0.008
637,0.011
637.5,0.016
638,0.022
638.5,0.023
639,0.027
639.5,0.031
640,0.027
640.5,0.021
641,0.008
641.5,0.004
642,0.005
642.5,0.005
643,0.012
643.5,0.02
644,0.025
644.5,0.038
645,0.045
645.5,0.042
646,0.037
646.5,0.034
647,0.024
647.5,0.019
648,0.014
648.5,0.008
649,0.004
649.5,0.007
650,0.013
650.5,0.013
651,0.014
651.5,0.016
652,0.016
652.5,0.021
653,0.021
653.5,0.02
654,0.022
654.5,0.019
655,0.02
655.5,0.019
656,0.017
656.5,0.017
657,0.015
657.5,0.017
658,0.016
658.5,0.015
659,0.018
659.5,0.016
660,0.019
660.5,0.025
661,0.029
661.5,0.032
662,0.036
662.5,0.038
663,0.035
663.5,0.028
664,0.028
664.5,0.023
665,0.023
665.5,0.022
666,0.025
666.5,0.024
667,0.025
667.5,0.026
668,0.022
668.5,0.014
669,0.016
669.5,0.014
670,0.012
670.5,0.007
671,0.009
671.5,0.009
672,0.01
672.5,0.008
673,0.005
673.5,0.004
674,0.006
674.5,0.009
675,0.012
675.5,0.016
676,0.019
676.5,0.025
677,0.025
677.5,0.015
678,0.01
678.5,0.007
679,0.009
679.5,0.015
680,0.019
680.5,0.021
681,0.021
681.5,0.025
682,0.021
682.5,0.012
683,0.006
683.5,0.005
684,0.013
684.5,0.014
685,0.01
685.5,0.008
686,0.009
686.5,0.011
687,0.011
687.5,0.015
688,0.017
688.5,0.018
689,0.027
689.5,0.022
690,0.018
690.5,0.016
691,0.016
691.5,0.018
692,0.019
692.5,0.021
693,0.024
693.5,0.024
694,0.023
694.5,0.021
695,0.021
695.5,0.022
696,0.019
696.5,0.016
697,0.017
697.5,0.016
698,0.016
698.5,0.016
699,0.011
699.5,0.009
700,0.01
700.5,0.014
701,0.01
701.5,0.009
702,0.011
702.5,0.012
703,0.01
703.5,0.01
704,0.004
704.5,0
705,0.005
705.5,0.009
706,0.007
706.5,0.007
707,0.015
707.5,0.02
708,0.022
708.5,0.025
709,0.025
709.5,0.027
710,0.026
710.5,0.016
711,0.005
711.5,-0.002
712,-0.005
712.5,-0.003
713,0.001
713.5,0.007
714,0.013
714.5,0.016
715,0.013
715.5,0.009
716,0.003
716.5,-0.005
717,-0.005
717.5,-0.007
718,-0.006
718.5,0.001
719,0.015
719.5,0.021
720,0.019
720.5,0.022
721,0.021
721.5,0.019
722,0.02
722.5,0.009
723,0.003
723.5,-0.002
724,-0.002
724.5,-0.005
725,-0.008
725.5,0
726,0.003
726.5,0.01
727,0.02
727.5,0.021
728,0.02
728.5,0.019
729,0.018
729.5,0.017
730,0.017
730.5,0.019
731,0.015
731.5,0.015
732,0.015
732.5,0.014
733,0.016
733.5,0.022
734,0.018
734.5,0.014
735,0.016
735.5,0.016
736,0.014
736.5,0.012
737,0.007
737.5,0.007
738,0.002
738.5,0
739,-0.002
739.5,0.001
740,0.005
740.5,0.007
741,0.011
741.5,0.009
742,0.008
742.5,0.003
743,-0.007
743.5,-0.008
744,-0.003
744.5,0
745,0.003
745.5,0.01
746,0.022
746.5,0.026
747,0.032
747.5,0.031
748,0.028
748.5,0.025
749,0.019
749.5,0.011
750,0.002
750.5,0.003
751,0.007
751.5,0.007
752,0.01
752.5,0.013
753,0.015
753.5,0.019
754,0.019
754.5,0.02
755,0.017
755.5,0.023
756,0.025
756.5,0.023
757,0.026
757.5,0.031
758,0.032
758.5,0.027
759,0.018
759.5,0.011
760,0.001
760.5,0.004
761,0.005
761.5,0.005
762,0.012
762.5,0.021
763,0.024
763.5,0.024
764,0.021
764.5,0.021
765,0.017
765.5,0.023
766,0.024
766.5,0.023
767,0.022
767.5,0.024
768,0.023
768.5,0.026
769,0.022
769.5,0.017
770,0.014
770.5,0.013
771,0.008
771.5,0.006
772,-0.003
772.5,-0.006
773,-0.01
773.5,-0.005
774,0
774.5,0.006
775,0.007
775.5,0.011
776,0.01
776.5,0.009
777,0
777.5,-0.007
778,-0.018
778.5,-0.017
779,-0.011
779.5,-0.015
780,-0.02
780.5,-0.022
781,-0.032
781.5,-0.037
782,-0.047
782.5,-0.048
783,-0.048
783.5,-0.035
784,-0.017
784.5,-0.007
785,0.009
785.5,0.02
786,0.03
786.5,0.03
787,0.026
787.5,0.026
788,0.015
788.5,0.021
789,0.022
789.5,0.014
790,0.013
790.5,0.016
791,0.018
791.5,0.009
792,0.007
792.5,0.008
793,0.002
793.5,0.01
794,0.008
794.5,0.005
795,0.012
795.5,0.021
796,0.021
796.5,0.023
797,0.027
797.5,0.031
798,0.022
798.5,0.02
799,0.013
799.5,0.013
800,0.01
800.5,0.007
801,0.001
801.5,-0.006
802,-0.017
802.5,-0.029
803,-0.044
803.5,-0.048
804,-0.05
804.5,-0.036
805,-0.026
805.5,-0.01
806,0.003
806.5,0.014
807,0.023
807.5,0.021
808,0.018
808.5,0.013
809,0.009
809.5,0.007
810,0.003
810.5,0.005
811,0.002
811.5,0.01
812,0.01
812.5,0.005
813,0.009
813.5,0.004
814,0
814.5,-0.005
815,-0.004
815.5,0.001
816,0.003
816.5,0.012
817,0.018
817.5,0.021
818,0.02
818.5,0.012
819,0.005
819.5,-0.004
820,-0.006
820.5,-0.003
821,0.002
821.5,0.018
822,0.037
822.5,0.043
823,0.042
823.5,0.045
824,0.046
824.5,0.046
825,0.048
825.5,0.041
826,0.033
826.5,0.022
827,0.013
827.5,0.007
828,0.007
828.5,0.015
829,0.016
829.5,0.021
830,0.024
830.5,0.018
831,0.013
831.5,0.009
832,0.01
832.5,0.01
833,0.012
833.5,0.015
834,0.015
834.5,0.02
835,0.023
835.5,0.02
836,0.023
836.5,0.029
837,0.024
837.5,0.014
838,0.011
838.5,0.011
839,0.005
839.5,-0.002
840,-0.007
840.5,-0.005
841,0.006
841.5,0.014
842,0.012
842.5,0
843,-0.002
843.5,-0.005
844,-0.014
844.5,-0.013
845,-0.005
845.5,0.016
846,0.039
846.5,0.055
847,0.05
847.5,0.048
848,0.043
848.5,0.035
849,0.019
849.5,0.013
850,-0.009
