A1: Ladder,B1: P8,C1: P8 10F
56.59199,2.045826,6.044085
45.95457,2.078074,6.043795
36.95657,2.11475,6.028069
29.88946,2.164981,5.953077
25.05851,2.223332,5.960821
21.59561,2.175785,5.859782
19.294,2.172652,6.07764
17.64765,2.26856,6.173534
16.4338,2.253974,6.181638
15.66834,2.144166,6.104717
14.83349,2.046202,6.221373
14.32125,2.053985,6.227419
13.91727,2.078346,6.324147
13.62035,2.216368,6.282537
13.4269,2.34829,6.383947
13.35607,2.313104,6.515568
13.45131,2.38068,6.663045
13.55029,2.484434,6.680154
14.25789,2.413084,6.619738
15.50817,2.370987,6.47604
17.91174,2.251081,6.419836
22.57242,2.249915,6.465268
29.96445,2.298273,6.574265
39.51352,2.38236,6.511411
51.44363,2.407433,6.584693
64.4945,2.326128,6.821865
77.55878,2.286699,6.817207
89.54424,2.304013,6.83148
99.19923,2.358868,6.954062
105.1424,2.424391,6.948276
107.3475,2.503658,6.969144
106.2925,2.629313,7.082814
102.3129,2.566442,7.138547
95.20468,2.54618,7.239676
86.19618,2.526144,7.310311
75.71596,2.558909,7.548083
64.55859,2.599629,7.616969
54.09367,2.644325,7.822971
44.40923,2.77317,7.947445
35.98262,2.89548,7.961182
29.21786,3.097834,8.014958
24.15158,3.14727,8.076311
20.47031,3.114079,8.191669
17.66863,3.220828,8.367638
15.71669,3.346775,8.568531
14.36013,3.623293,8.745851
13.17227,3.70812,9.023309
12.60676,3.83332,9.376336
12.29088,3.924572,9.422474
12.10657,3.983839,9.527262
12.13836,4.134068,9.669678
12.33867,4.235019,9.836301
12.72693,4.35474,10.075
13.96976,4.571498,10.41846
16.47503,5.003235,10.89024
21.13525,5.539591,11.01961
28.88306,6.080197,11.39286
39.62661,6.647363,11.80535
53.43145,7.239909,12.16093
68.42915,7.686132,12.66251
83.43005,8.366009,13.26376
96.95671,9.624261,13.79782
105.6887,12.15563,14.54937
110.1332,16.55364,15.46842
109.953,23.93816,16.41488
105.8839,35.28841,17.08006
99.22335,51.63938,18.13464
89.55321,70.16455,19.5544
78.91299,90.78909,20.98688
67.34167,109.8258,22.77241
55.92522,125.0454,24.92068
45.40177,134.4568,27.78948
34.7552,136.8934,33.57093
26.52657,132.2611,42.32763
20.25349,122.7767,56.6964
15.78845,110.1409,79.43942
13.0355,96.45493,114.9268
10.75367,81.60174,163.5358
9.330776,68.31564,220.64
8.244435,55.66333,278.9937
7.436738,44.54619,330.2191
6.823788,35.09055,366.0034
6.216973,27.18529,381.3883
5.868284,20.79972,373.4612
5.593771,16.41928,345.0076
5.44739,13.18508,301.1234
5.255754,10.94222,251.3066
4.940145,9.273772,201.9194
4.617971,8.039224,156.8852
4.366783,7.021162,118.082
4.379801,6.365591,86.91014
4.086909,5.947663,63.00722
3.85563,5.396355,45.92235
3.70149,4.813052,34.87344
3.621854,4.389091,27.98038
3.57224,4.012024,23.02459
3.409682,3.786916,19.90812
3.016879,3.454553,17.58245
2.86227,3.205359,15.8435
2.730891,2.97185,14.21875
2.578274,2.7737,13.072
2.328221,2.690204,12.25703
2.316565,2.452579,11.55099
2.434095,2.408932,10.98905
2.557517,2.307349,10.43677
2.500605,2.353156,9.606966
2.47873,2.362761,8.97704
2.288806,2.171894,8.304475
2.143034,2.063581,7.796899
1.988868,1.912579,7.247583
1.794845,1.766534,6.903635
1.714593,1.682699,6.437284
1.76898,1.560962,6.172009
1.839729,1.433195,5.798879
1.830926,1.226471,5.409347
1.759614,1.17252,5.080783
1.593617,0.9991312,4.827243
1.501395,0.878665,4.638333
1.287057,0.7444019,4.488135
1.218165,0.7019882,4.303009
1.151245,0.7624359,4.189641
1.08302,0.8016548,4.05583
1.05978,0.7714186,3.925083
1.092083,0.7539597,3.600514
1.052747,0.6186562,3.365519
1.113019,0.6204252,3.078693
0.8672504,0.516923,2.776385
0.7793827,0.3618031,2.515923
0.7051802,0.1729307,2.2841
0.5678825,0.02178288,2.269784
0.4339733,0.01981258,2.213847
0.3458719,0,2.206339
0.274663,0,2.105341
0.3177576,0.02020407,1.988249
0.3457079,0,1.91274
0.4610167,0.1161399,1.654553
0.3987169,0.1351557,1.448068
0.380724,0.06417894,1.282219
0.4205637,0.08077717,1.09917
0.3561411,0.004890919,1.072551
0.3016968,0.04345703,0.996007
0.1513958,0.06868935,0.9736137
0.1219721,0.1160774,1.015696
0.1275616,0.07327938,0.9975767
0.1449804,0.14536,1.033544
0.09742641,0.2454166,0.9183273
0.05171776,0.1522617,0.8473167
0,0.0005421638,0.7070789
0.005958557,0,0.5485497
0.003203392,0.07340002,0.4525852
0,0.0480628,0.3897285
0,0,0.3943624
0.1109838,0,0.3498783
0,0,0.3220482
0.02640247,0.06214523,0.2675323
0,0.1307049,0.1696434
0,0.06645966,0.07436848
0,0.0429244,0
0,0.07797861,0.003475189
0.05229187,0.2172136,0
0.1142926,0.1942835,0.08665085
0.1796327,0.1917696,0.1921215
0.121932,0.08664846,0.215066
0,0.03811026,0.2577419
0.05042124,0.08702421,0.2029104
0.04508305,0.1040373,0.1403494
0.01338768,0,0.0971632
0,0,0
0.1260762,0,0
0.2011876,0.06558371,0
0.18396,0.04154205,0.00436306
0.1121192,0.06066275,0
0,0,0
0,0.08970547,0
0,0.1366534,0
0,0.0966258,0
0,0,0.01763821
0.05034828,0.003213882,0
0.06659937,0.04678345,0.01931381
0.04170704,0.168714,0
0,0.077456,0
0.07928658,0.109036,0.007453442
0.08019257,0.06636381,0
0.07641792,0.09479189,0
0.05696964,0.1433821,0
0.03197098,0.09059906,0
0.009987831,0.01506329,0
0.008375645,0,0
0,0.02024078,0
0,0.05683136,0
0,0.02451038,0
0.1595531,0.0351553,0
0.1433234,0,0
0.1756668,0,0.02184916
0.2385907,0.1126428,0.08486795
0.1837459,0.06896973,0.01258802
0.08731747,0.04571152,0
0.01612091,0.04467058,0
0,0.02958632,0.004046917
0,0,0.01755381
0,0.05255508,0.0814538
0,0.08393002,0.1258969
0,0,0.1458626
0.07685423,0.009279251,0.1318264
0.2100596,0.07795382,0.1125231
0.3523173,0.0635705,0.01853704
0.3800545,0.08385086,0
0.4411492,0.1189737,0
0.4399304,0.06238317,0
0.3987813,0.1008086,0
0.2663865,0.2031083,0.05714846
0.1688986,0.1563601,0.02830219
0,0.09344149,0.03125572
0,0.1546464,0.1311941
0,0.1249385,0.221777
0,0.07512045,0.2214918
0,0.04796314,0.1955719
0.06380177,0,0.08695412
0.2331071,0,0.1127172
0.3508978,0.08709955,0.1787271
0.5680466,0.1614318,0.2197509
0.708004,0.1883144,0.0996623
0.7480588,0.2473407,0.06782341
0.7911911,0.324976,0.07831955
0.7959094,0.3599281,0.1433825
0.7170925,0.2804427,0.05260086
0.66363,0.1937308,0.006029129
0.6678839,0.08674097,0
0.6435976,0.0825882,0.1241179
0.4767041,0.03366852,0.1426063
0.3968186,0,0.1851702
0.275023,0.04857635,0.1718063
0.342732,0.09142065,0.1579852
0.4099698,0.2329812,0.1956344
0.4911079,0.3408623,0.220911
0.6046519,0.284452,0.09816456
0.6201777,0.286654,0.03389406
0.6409311,0.2660432,0.09184694
0.629704,0.3622828,0.1000729
0.5813851,0.370028,0.1290054
0.5264668,0.4219165,0.2055025
0.5087285,0.4889474,0.1678524
0.6355591,0.4973483,0.1245685
0.5951519,0.563168,0.08610773
0.5999503,0.517293,0.04449558
0.7305264,0.417079,0.01984024
0.7390971,0.3756576,0.07585669
0.7698431,0.4022937,0.2002101
0.848846,0.4417763,0.1912842
0.9170771,0.4697728,0.307817
0.9363136,0.4974227,0.3370624
1.005848,0.4001222,0.3763118
1.104836,0.3521605,0.36658
1.106857,0.3999753,0.3310585
1.165091,0.3974395,0.2843375
1.127125,0.4599319,0.1646643
1.04042,0.5501561,0.2020288
0.9361057,0.5310073,0.3026552
0.8638887,0.4917259,0.3627205
0.7560053,0.5256176,0.4501653
0.7969236,0.5741739,0.4433174
0.8228421,0.5324516,0.5220976
0.971529,0.5688038,0.5297761
0.991693,0.6624169,0.6890235
1.030215,0.6891394,0.5478578
1.053959,0.6874814,0.3951488
1.000178,0.6513968,0.4445367
1.035523,0.4548349,0.6823606
0.9791217,0.3221622,0.6516032
0.8821077,0.1903653,0.5039845
0.8977814,0.2741618,0.3733482
0.9257112,0.2160292,0.3198719
0.9750285,0.3257823,0.3744407
0.8668928,0.4163704,0.4548635
0.9692698,0.4936714,0.3256207
1.057333,0.5286999,0.3720398
1.027139,0.5601249,0.4718332
1.060108,0.5749946,0.6690331
1.053773,0.5371928,0.5336547
0.9312673,0.5681162,0.5545449
0.8799896,0.6603031,0.6118517
0.8865309,0.6178308,0.6661153
0.8111691,0.6937299,0.7473888
0.7844014,0.7072177,0.7474051
0.8656664,0.6624265,0.7789626
0.9484944,0.5375185,0.7923965
1.107054,0.5423961,0.7187233
1.084477,0.448967,0.6720514
1.109956,0.2784343,0.6274924
1.008332,0.3274307,0.6417661
1.007844,0.3341398,0.7159643
1.016768,0.3319602,0.7680297
0.9338679,0.4307752,0.831481
0.8884616,0.485538,0.9800258
0.809505,0.4900684,1.058768
0.9771452,0.5109515,0.9870014
1.191518,0.56705,0.965745
1.1225,0.4526238,0.9456682
1.116681,0.2999849,0.9010758
1.073482,0.3330808,0.8446445
1.054163,0.2476144,0.8607035
1.005775,0.2540236,0.7544966
0.8517323,0.3035564,0.6314559
0.7471199,0.3453012,0.7061605
0.66116,0.4711666,0.6688576
0.801199,0.5469885,0.6186886
0.9550571,0.5770807,0.5910439
1.065899,0.5780253,0.6494555
1.140697,0.5657191,0.7505322
1.11862,0.5639763,0.7176089
1.081909,0.5609159,0.6681952
1.008474,0.4957137,0.5776858
0.9048223,0.4027219,0.5998063
0.8550396,0.5028849,0.7324567
0.8325677,0.5537739,0.7294459
0.8239012,0.4952984,0.7261086
0.7405386,0.483387,0.7246633
0.7306776,0.238616,0.8728271
0.7144585,0.3120294,0.9510102
0.7841873,0.3291693,0.883213
0.8860989,0.402226,0.900003
0.8887634,0.3521523,0.9713531
0.9934092,0.4929452,1.019361
1.142406,0.5855403,1.088762
1.197637,0.5691853,1.044283
1.148405,0.5273957,1.042836
0.9517808,0.4956527,1.084704
0.8234706,0.305644,1.092291
0.7415128,0.3070216,1.048597
0.7252884,0.3197994,0.9995923
0.6616282,0.329247,1.006123
0.5242863,0.3504291,1.051711
0.5268559,0.2882223,0.9735847
0.6373696,0.1526403,1.052914
0.8016329,0.07450533,0.9070239
0.8789387,0.07619333,0.9588675
0.9474778,0.1525536,0.8115611
0.9944711,0.2883978,0.7167292
1.005387,0.3243399,0.5109296
1.026916,0.4718771,0.4252901
1.000458,0.4733515,0.58184
0.8637271,0.516418,0.6393619
0.7949848,0.3820338,0.7123933
0.9355245,0.2747645,0.8926067
0.8162742,0.2337832,0.8812008
0.6365652,0.257534,1.072345
0.6280022,0.3233981,0.9710755
0.6218667,0.4491434,1.011714
0.6105289,0.5461373,0.9825482
0.6566954,0.5772514,1.028773
0.6601748,0.4901514,1.123258
0.6438365,0.5135074,1.054986
0.7140126,0.4480352,1.007177
0.7794652,0.3833656,1.171419
0.6025801,0.3734331,1.235878
0.7244501,0.3222036,1.349541
0.79987,0.3351288,1.356153
0.804976,0.3671751,1.459569
0.8918829,0.3722544,1.45425
0.8162928,0.3154716,1.425848
0.7078543,0.2697406,1.404679
0.6356583,0.2705359,1.20736
0.5603828,0.2421031,0.9764709
0.4559889,0.2929978,1.011555
0.4648714,0.2926297,0.9685273
0.4887867,0.2839174,0.9190898
0.5049911,0.2760978,0.8765922
0.6240311,0.3335791,0.8612013
0.82549,0.3162227,0.9496369
0.7784944,0.4240708,0.9052095
0.7797961,0.4922056,0.8535132
0.7602053,0.493329,0.7369275
0.7131782,0.4680157,0.6823449
0.651433,0.5066099,0.6770611
0.5580769,0.4763026,0.7261729
0.4453826,0.4168482,0.6867394
0.536448,0.2067246,0.7314997
0.5886793,0.2142091,0.7398558
0.6341629,0.192872,0.8666477
0.6818681,0.2812653,0.7562108
0.6979389,0.410037,0.7506738
0.6972833,0.5335393,0.7403297
0.5813842,0.4925432,0.7387934
0.479373,0.4762769,0.7993832
0.3201442,0.4648666,0.859262
0.2486172,0.4378939,0.8600116
0.3378248,0.279758,0.9089017
0.3149672,0.345016,0.8551559
0.4026003,0.3215628,0.9103279
0.5263805,0.3179164,0.8893476
0.4903107,0.3803067,0.8863273
0.5189795,0.4268622,0.9219055
0.4122481,0.3256264,0.8629584
0.3663659,0.3182597,0.924902
0.3167348,0.293499,0.8922658
0.2506905,0.2337408,0.8523421
0.3515511,0.2051134,0.7297473
0.3243289,0.1809244,0.6178837
0.3258891,0.1233115,0.5053158
0.3243942,0.1598969,0.4233665
0.2134199,0.1663365,0.481236
0.3232684,0.255868,0.4740429
0.4596682,0.3700504,0.4164252
0.5404634,0.4995551,0.6206708
0.511939,0.4961429,0.711369
0.4526772,0.4107022,0.674222
0.5040207,0.4069352,0.6752253
0.5173302,0.2609692,0.7160144
0.4317803,0.1915584,0.6553111
0.4416184,0.2174129,0.7041512
0.3187475,0.2004995,0.6570382
0.3301969,0.2466102,0.4702697
0.4039917,0.3275123,0.441071
0.3602614,0.4267783,0.4740129
0.2639589,0.3319254,0.4978595
0.2517724,0.3435383,0.4875546
0.358851,0.3550167,0.5977678
0.3835588,0.2814884,0.6455436
0.3853989,0.3185382,0.7183399
0.5243192,0.386085,0.7998881
0.3217587,0.3652844,0.7691512
0.1937532,0.4177933,0.7183471
0.1139669,0.3303509,0.8124356
0.03690338,0.3598866,0.6589694
0,0.228334,0.60743
0.0780654,0.260529,0.5439987
0.1014056,0.2555232,0.4351859
0.2208734,0.3013239,0.2978544
0.1591077,0.4369726,0.2801423
0.2061982,0.4808207,0.2226248
0.1068149,0.4647493,0.3186994
0.1034141,0.5091324,0.4290361
0.05744648,0.4041619,0.4949512
0.1271062,0.4458833,0.4850206
0.181994,0.2031612,0.567389
0.2501564,0.1018572,0.6627569
0.3085823,0.1260176,0.6516862
0.3617215,0.1168466,0.5962386
0.2826118,0.1553688,0.6125131
0.2616997,0.1467838,0.4189963
0.2335324,0.1917043,0.3380294
0.1673131,0.2354698,0.2294831
0.1055083,0.2990489,0.1585736
0.1102633,0.3603778,0.1701035
0.1226935,0.3029165,0.1131344
0.1948881,0.4813094,0.09763527
0.2780004,0.6356645,0.1436987
0.2086401,0.6361504,0.1666431
0.2280579,0.6793513,0.148489
0.1277843,0.7121367,0
0.08129883,0.8189845,0.01629877
0.07076597,0.8666549,0.06407499
0.1107969,0.8551154,0.1983314
0.1459298,0.8145928,0.2231402
0.2263165,0.8689842,0.2501364
0.2661285,0.8735652,0.298449
0.2406416,0.7580566,0.339942
0.2272844,0.7255621,0.2771606
0.2103615,0.5269418,0.07515001
0.1585569,0.4279199,0
0.1519432,0.379631,0.02244949
0.1687474,0.3989506,0.0139637
0.2052498,0.3414359,0.1185207
0.1486773,0.4166441,0.2345195
0.1390595,0.416661,0.4325151
0.1655903,0.4071324,0.4894023
0.1230407,0.4007175,0.5077629
0.1054749,0.4511018,0.4273615
0.03695202,0.2887387,0.3278513
0,0.228955,0.2906976
0.03743935,0.1135428,0.2384682
0.1078458,0.09362626,0.1499438
0.1839771,0.01104403,0.106833
0.2627373,0,0.1098633
